type,timestamp,positions,velocities,torques
STATE_MOTOR,63908330.761,"[-0.13959225169759334, 0.06059224112148282, 0.5238544390629465, 0.06135923151542565, 0.04678641403051206, 0.42727272727272725]","[0.0, 0.30679615757712825, 0.30679615757712825, -0.23009711818284617, -0.23009711818284617, 0.0]","[0.022814, 0.0, 0.0, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,63928410.052999996,"[-0.13959225169759334, 0.06519418348513975, 0.5284563814266033, 0.056757289151768725, 0.045252433242626414, 0.42727272727272725]","[0.0, 0.15339807878856412, 0.23009711818284617, -0.23009711818284617, -0.07669903939428206, 0.0]","[0.0, 0.0, 0.0, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,63948488.48100003,"[-0.13959225169759334, 0.06826214506091104, 0.5315243430023746, 0.052155346788111796, 0.04065049087896949, 0.42727272727272725]","[0.0, 0.23009711818284617, 0.15339807878856412, -0.15339807878856412, -0.23009711818284617, 0.0]","[0.022814, 0.0, 0.0, 0.045628, 0.0, 0.045628]"
STATE_MOTOR,63968568.02900004,"[-0.13959225169759334, 0.07133010663668231, 0.5361262853660316, 0.04601942363656923, 0.037582529303198206, 0.4286713286713287]","[0.0, 0.07669903939428206, 0.23009711818284617, -0.30679615757712825, -0.15339807878856412, 0.07669903939428206]","[0.022814, 0.0, 0.0, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,63988649.785000004,"[-0.13959225169759334, 0.0743980682124536, 0.5422622085175741, 0.04141748127291231, 0.032980586939541284, 0.4307692307692308]","[0.0, 0.23009711818284617, 0.23009711818284617, -0.23009711818284617, -0.15339807878856412, 0.23009711818284617]","[0.022814, 0.022814, 0.0, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,64008728.43699995,"[-0.14112623248547898, 0.07746602978822488, 0.5453301700933454, 0.03681553890925539, 0.028378644575884363, 0.43286713286713285]","[-0.07669903939428206, 0.15339807878856412, 0.23009711818284617, -0.23009711818284617, -0.23009711818284617, 0.23009711818284617]","[0.0, 0.0, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,64028806.54499995,"[-0.14266021327336462, 0.08053399136399617, 0.5499321124570024, 0.030679615757712823, 0.02684466378799872, 0.43566433566433566]","[-0.07669903939428206, 0.15339807878856412, 0.15339807878856412, -0.30679615757712825, -0.15339807878856412, 0.30679615757712825]","[0.0, 0.0, 0.0, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,64048897.51799999,"[-0.14419419406125028, 0.08513593372765309, 0.5545340548206593, 0.026077673394055898, 0.02531068300011308, 0.43776223776223777]","[-0.07669903939428206, 0.15339807878856412, 0.23009711818284617, -0.23009711818284617, -0.07669903939428206, 0.23009711818284617]","[0.022814, 0.0, 0.0, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,64068976.42599995,"[-0.14572817484913592, 0.08820389530342436, 0.5606699779722019, 0.021475731030398976, 0.020708740636456155, 0.4405594405594406]","[-0.07669903939428206, 0.23009711818284617, 0.30679615757712825, -0.23009711818284617, -0.15339807878856412, 0.30679615757712825]","[0.0, 0.0, 0.022814, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,64089060.229999974,"[-0.14726215563702155, 0.0928058376670813, 0.5622039587600874, 0.01687378866674205, 0.016106798272799233, 0.44405594405594406]","[-0.07669903939428206, 0.15339807878856412, 0.23009711818284617, -0.23009711818284617, -0.30679615757712825, 0.30679615757712825]","[0.0, 0.0, 0.0, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,64109139.26599994,"[-0.14726215563702155, 0.09740778003073822, 0.5668059011237444, 0.010737865515199488, 0.011504855909142308, 0.44685314685314687]","[0.0, 0.23009711818284617, 0.07669903939428206, -0.30679615757712825, -0.15339807878856412, 0.30679615757712825]","[0.0, 0.022814, 0.0, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,64129217.118000045,"[-0.14726215563702155, 0.09894176081862385, 0.5714078434874014, 0.006135923151542565, 0.006902913545485385, 0.45034965034965035]","[0.0, 0.15339807878856412, 0.23009711818284617, -0.23009711818284617, -0.23009711818284617, 0.38349519697141027]","[0.0, 0.0, 0.0, 0.045628, 0.0, 0.045628]"
STATE_MOTOR,64149295.80299997,"[-0.14726215563702155, 0.10200972239439514, 0.5775437666389439, 0.0015339807878856412, 0.003834951969714103, 0.45384615384615384]","[0.0, 0.07669903939428206, 0.30679615757712825, -0.23009711818284617, -0.23009711818284617, 0.38349519697141027]","[0.0, 0.0, 0.0, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,64169373.27100004,"[-0.14726215563702155, 0.10507768397016642, 0.5790777474268295, -0.0046019423636569235, -0.0007669903939428206, 0.45734265734265733]","[0.0, 0.23009711818284617, 0.15339807878856412, -0.23009711818284617, -0.15339807878856412, 0.38349519697141027]","[0.0, 0.022814, 0.0, 0.068442, 0.022814, 0.0]"
