type,timestamp,positions
CONTROL,3112630.377999949,"[-0.102682, -0.051094, 0.411832, 0.104793, 0.089995, 0.476824]"
CONTROL,3132710.933999988,"[-0.105397, -0.046965, 0.415687, 0.104992, 0.089867, 0.472391]"
CONTROL,3152791.745000059,"[-0.108046, -0.042769, 0.419626, 0.104925, 0.089564, 0.468067]"
CONTROL,3172871.6610000446,"[-0.110627, -0.038513, 0.423644, 0.104594, 0.089089, 0.463868]"
CONTROL,3192952.3450000943,"[-0.113138, -0.034202, 0.427737, 0.103998, 0.088441, 0.459813]"
CONTROL,3213032.0690000644,"[-0.115577, -0.029843, 0.431901, 0.10314, 0.087622, 0.455916]"
CONTROL,3233111.409000003,"[-0.117943, -0.025441, 0.436133, 0.102021, 0.086634, 0.452193]"
CONTROL,3253190.876999952,"[-0.120235, -0.021003, 0.440428, 0.100645, 0.085478, 0.448659]"
CONTROL,3273269.92899998,"[-0.122451, -0.016535, 0.444781, 0.099014, 0.084157, 0.445327]"
CONTROL,3293347.5090001137,"[-0.124589, -0.012043, 0.449189, 0.097133, 0.082673, 0.442212]"
CONTROL,3313427.233000084,"[-0.126649, -0.007535, 0.453647, 0.095007, 0.081029, 0.439324]"
CONTROL,3333505.8049999587,"[-0.128629, -0.003016, 0.458151, 0.092641, 0.079228, 0.436675]"
CONTROL,3353585.241000019,"[-0.130528, 0.001508, 0.462697, 0.09004, 0.077274, 0.434277]"
CONTROL,3373664.516999952,"[-0.132344, 0.006029, 0.467279, 0.087213, 0.075171, 0.432138]"
CONTROL,3393743.665000102,"[-0.134076, 0.010542, 0.471893, 0.084165, 0.072922, 0.430267]"
CONTROL,3413823.3240000773,"[-0.135724, 0.01504, 0.476535, 0.080904, 0.070532, 0.428671]"
CONTROL,3433904.0410000053,"[-0.137286, 0.019516, 0.4812, 0.077439, 0.068006, 0.427356]"
CONTROL,3453983.060000155,"[-0.138762, 0.023965, 0.485884, 0.073778, 0.065349, 0.426328]"
CONTROL,3474062.4319999823,"[-0.140149, 0.02838, 0.490581, 0.069931, 0.062564, 0.425591]"
CONTROL,3494142.1559999525,"[-0.141449, 0.032754, 0.495288, 0.065908, 0.059659, 0.425148]"
CONTROL,3514222.4240000816,"[-0.142658, 0.037082, 0.5, 0.061717, 0.056639, 0.425]"
CONTROL,3534302.1160001624,"[-0.143778, 0.041357, 0.504712, 0.057371, 0.053509, 0.425148]"
CONTROL,3554381.744000011,"[-0.144807, 0.045573, 0.509419, 0.05288, 0.050275, 0.425591]"
CONTROL,3574459.996000087,"[-0.145745, 0.049725, 0.514116, 0.048256, 0.046944, 0.426328]"
CONTROL,3594539.912000073,"[-0.14659, 0.053806, 0.5188, 0.043509, 0.043523, 0.427356]"
CONTROL,3614619.604000154,"[-0.147343, 0.05781, 0.523465, 0.038653, 0.040017, 0.428671]"
CONTROL,3634698.624000066,"[-0.148003, 0.061733, 0.528107, 0.033699, 0.036434, 0.430267]"
CONTROL,3654778.124000131,"[-0.148569, 0.065567, 0.532721, 0.02866, 0.03278, 0.432138]"
CONTROL,3674857.6560000856,"[-0.149042, 0.069309, 0.537303, 0.023548, 0.029063, 0.434277]"
CONTROL,3694937.8920000982,"[-0.14942, 0.072952, 0.541849, 0.018377, 0.02529, 0.436675]"
CONTROL,3715017.296000042,"[-0.149704, 0.076491, 0.546353, 0.01316, 0.021468, 0.439324]"
CONTROL,3735095.3879999905,"[-0.149893, 0.079921, 0.550811, 0.007909, 0.017604, 0.442212]"
CONTROL,3755174.3760000137,"[-0.149988, 0.083238, 0.555219, 0.002639, 0.013707, 0.445327]"
CONTROL,3775254.2600001106,"[-0.149988, 0.086437, 0.559572, -0.002639, 0.009782, 0.448659]"
CONTROL,3795335.0400000545,"[-0.149893, 0.089513, 0.563867, -0.007909, 0.005839, 0.452193]"
CONTROL,3815414.6680001304,"[-0.149704, 0.092462, 0.568099, -0.01316, 0.001885, 0.455916]"
CONTROL,3835494.072000074,"[-0.14942, 0.095279, 0.572263, -0.018377, -0.002073, 0.459813]"
CONTROL,3855573.98800006,"[-0.149042, 0.097961, 0.576356, -0.023548, -0.006027, 0.463868]"
CONTROL,3875652.7200000617,"[-0.148569, 0.100503, 0.580374, -0.02866, -0.00997, 0.468067]"
CONTROL,3895732.6680001644,"[-0.148003, 0.102903, 0.584313, -0.033699, -0.013893, 0.472391]"
CONTROL,3915812.0399999917,"[-0.147343, 0.105157, 0.588168, -0.038653, -0.017789, 0.476824]"
CONTROL,3935891.4440001626,"[-0.14659, 0.107261, 0.591936, -0.043509, -0.021651, 0.481348]"
CONTROL,3955969.856000138,"[-0.145745, 0.109213, 0.595614, -0.048256, -0.025471, 0.485946]"
CONTROL,3976050.444000066,"[-0.144807, 0.111009, 0.599197, -0.05288, -0.029242, 0.4906]"
CONTROL,3996130.455999946,"[-0.143778, 0.112648, 0.602682, -0.057371, -0.032956, 0.495291]"
